,Ticker,Fund,Issuer,Family,FamilyLabel,Benchmark,Date,Price,AUM,ExpenseRatio,ADVmm,SpreadBps,RoundTripBps,VolAnn
0,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-03-07,49.43,80000.0,0.25,2441.868,91.033,91.115,46.575
1,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-03-10,44.91,80000.0,0.25,2549.898,82.208,82.31,49.238
2,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-03-11,47.24,80000.0,0.25,2551.557,83.005,83.108,50.448
3,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-03-12,47.15,80000.0,0.25,2567.59,93.021,93.122,49.243
4,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-03-13,45.52,80000.0,0.25,2589.548,102.572,102.673,49.629
5,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-03-14,48.14,80000.0,0.25,2599.41,91.556,91.659,50.945
6,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-03-17,48.06,80000.0,0.25,2602.664,97.874,97.977,50.182
7,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-03-18,46.81,80000.0,0.25,2605.191,97.874,98.0,50.327
8,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-03-19,48.61,80000.0,0.25,2602.35,97.874,98.0,49.68
9,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-03-20,47.85,80000.0,0.25,2596.237,106.773,106.88,49.011
10,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-03-21,47.7,80000.0,0.25,2568.555,106.773,106.875,49.005
11,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-03-24,50.18,80000.0,0.25,2515.085,101.732,101.834,49.674
12,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-03-25,50.14,80000.0,0.25,2470.315,105.866,105.968,47.937
13,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-03-26,49.18,80000.0,0.25,2290.251,105.866,105.968,47.584
14,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-03-27,49.44,80000.0,0.25,2172.117,112.26,112.342,47.56
15,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-03-28,47.56,80000.0,0.25,2159.874,97.225,97.333,48.174
16,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-03-31,46.81,80000.0,0.25,2077.34,92.286,92.423,48.235
17,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-04-01,48.3,80000.0,0.25,1931.795,92.286,92.428,47.835
18,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-04-02,49.41,80000.0,0.25,1852.56,92.286,92.428,48.038
19,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-04-03,46.57,80000.0,0.25,1822.613,92.286,92.428,48.673
20,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-04-04,47.71,80000.0,0.25,1857.387,80.951,81.093,47.567
21,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-04-07,44.27,80000.0,0.25,1944.479,68.638,68.795,49.598
22,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-04-08,43.59,80000.0,0.25,1866.001,89.396,89.538,49.593
23,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-04-09,46.83,80000.0,0.25,1947.441,87.44,87.582,51.898
24,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-04-10,45.17,80000.0,0.25,1973.549,88.299,88.456,51.923
25,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-04-11,47.67,80000.0,0.25,2003.71,78.747,78.904,52.73
26,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-04-14,48.28,80000.0,0.25,1978.124,78.747,78.889,52.781
27,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-04-15,47.74,80000.0,0.25,1966.323,77.076,77.217,51.921
28,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-04-16,47.96,80000.0,0.25,1954.046,80.615,80.752,51.829
29,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-04-17,48.26,80000.0,0.25,1914.645,89.077,89.196,51.792
30,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-04-21,49.72,80000.0,0.25,1980.382,77.273,77.392,52.218
31,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-04-22,52.08,80000.0,0.25,2146.846,77.273,77.392,53.058
32,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-04-23,53.2,80000.0,0.25,2229.992,77.273,77.379,52.84
33,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-04-24,53.26,80000.0,0.25,2250.053,76.03,76.136,52.842
34,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-04-25,54.27,80000.0,0.25,2307.385,76.03,76.135,52.605
35,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-04-28,53.88,80000.0,0.25,2317.322,68.931,69.036,52.592
36,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-04-29,54.22,80000.0,0.25,2312.42,68.931,69.029,52.176
37,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-04-30,53.51,80000.0,0.25,2346.017,68.931,69.012,52.235
38,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-05-01,54.95,80000.0,0.25,2414.863,68.931,69.012,52.291
39,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-05-02,55.19,80000.0,0.25,2438.102,69.53,69.604,52.217
40,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-05-05,53.63,80000.0,0.25,2411.635,69.53,69.604,52.542
41,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-05-06,53.97,80000.0,0.25,2308.514,75.027,75.099,52.505
42,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-05-07,54.68,80000.0,0.25,2158.864,75.027,75.099,52.462
43,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-05-08,57.62,80000.0,0.25,2207.109,54.269,54.349,53.327
44,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-05-09,58.66,80000.0,0.25,2118.394,42.776,42.857,53.308
45,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-05-12,57.88,80000.0,0.25,2142.236,33.136,33.208,53.361
46,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-05-13,59.62,80000.0,0.25,2127.918,34.567,34.639,53.649
47,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-05-14,58.74,80000.0,0.25,2160.854,38.931,39.003,53.27
48,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-05-15,58.67,80000.0,0.25,2200.061,35.065,35.131,53.116
49,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-05-16,59.2,80000.0,0.25,2242.642,31.526,31.592,52.908
50,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-05-19,59.99,80000.0,0.25,2332.191,25.763,25.828,52.319
51,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-05-20,60.91,80000.0,0.25,2341.296,25.763,25.828,52.337
52,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-05-21,61.79,80000.0,0.25,2424.338,25.763,25.819,50.458
53,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-05-22,63.23,80000.0,0.25,2470.282,25.763,25.817,49.696
54,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-05-23,61.83,80000.0,0.25,2580.522,22.871,22.928,49.878
55,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-05-27,62.5,80000.0,0.25,2603.316,24.354,24.409,49.874
56,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-05-28,60.79,80000.0,0.25,2643.748,23.057,23.114,50.187
57,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-05-29,59.99,80000.0,0.25,2763.579,23.083,23.14,50.287
58,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-05-30,59.46,80000.0,0.25,2805.801,23.083,23.138,49.734
59,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-06-02,59.36,80000.0,0.25,2754.507,26.083,26.135,49.599
60,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-06-03,60.4,80000.0,0.25,2747.836,25.484,25.539,49.369
61,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-06-04,59.64,80000.0,0.25,2776.016,25.484,25.539,44.975
62,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-06-05,57.87,80000.0,0.25,2882.946,22.675,22.73,44.499
63,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-06-06,59.26,80000.0,0.25,2903.095,25.86,25.915,44.679
64,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-06-09,61.77,80000.0,0.25,2880.23,25.86,25.915,44.583
65,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-06-10,62.29,80000.0,0.25,2875.834,25.86,25.912,43.313
66,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-06-11,61.84,80000.0,0.25,2842.93,31.249,31.299,43.361
67,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-06-12,60.7,80000.0,0.25,2840.28,29.818,29.868,43.156
68,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-06-13,59.74,80000.0,0.25,2852.435,25.454,25.504,42.782
69,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-06-16,61.8,80000.0,0.25,2883.486,21.518,21.573,43.04
70,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-06-17,59.5,80000.0,0.25,2930.903,21.518,21.576,43.878
71,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-06-18,58.97,80000.0,0.25,2899.075,25.796,25.854,42.839
72,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-06-20,58.67,80000.0,0.25,2853.23,30.674,30.732,42.863
73,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-06-23,58.67,80000.0,0.25,2740.615,30.674,30.737,42.623
74,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-06-24,60.06,80000.0,0.25,2655.745,30.674,30.739,42.827
75,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-06-25,61.275,80000.0,0.25,2592.369,30.674,30.751,42.052
76,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-06-26,61.14,80000.0,0.25,2530.629,31.533,31.61,41.865
77,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-06-27,60.72,80000.0,0.25,2505.604,36.215,36.28,41.548
78,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-06-30,61.21,80000.0,0.25,2404.79,39.985,40.051,41.372
79,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-07-01,59.84,80000.0,0.25,2376.823,39.985,40.062,39.645
80,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-07-02,62.42,80000.0,0.25,2485.83,36.986,37.066,40.202
81,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-07-03,62.19,80000.0,0.25,2475.041,36.986,37.066,36.698
82,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-07-07,61.4,80000.0,0.25,2493.624,36.986,37.066,36.636
83,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-07-08,61.82,80000.0,0.25,2420.565,34.298,34.361,33.96
84,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-07-09,63.58,80000.0,0.25,2495.769,31.113,31.176,33.211
85,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-07-10,64.5,80000.0,0.25,2624.938,31.113,31.168,31.717
86,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-07-11,67.21,80000.0,0.25,2777.106,31.113,31.176,32.536
87,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-07-14,68.18,80000.0,0.25,2909.816,22.676,22.739,32.395
88,IBIT,iShares Bitcoin Trust,BlackRock,IBIT,iShares Bitcoin Trust,BTC-USD,2025-07-15,66.16,80000.0,0.25,3062.285,22.676,22.731,33.225
